test_id,message_length,sha256_bits_changed,esha256_bits_changed
1279,62,124,120
1280,63,135,135
1281,64,126,129
1282,65,138,127
1283,66,134,119
1284,67,134,116
1285,68,119,114
1286,69,127,121
1287,70,129,121
1288,71,132,126
1289,72,141,124
1290,73,143,124
1291,74,116,126
1292,75,136,139
1293,76,132,144
1294,77,122,128
1295,78,123,131
1296,79,132,126
1297,80,132,137
1298,81,131,107
1299,82,123,122
1300,83,128,121
1301,84,126,135
1302,85,131,139
1303,86,129,135
1304,87,139,121
1305,88,130,126
1306,89,136,123
1307,90,144,136
1308,91,140,126
1309,92,124,116
1310,93,131,126
1311,94,125,143
1312,95,115,123
1313,96,114,116
1314,97,134,130
1315,98,131,145
1316,99,122,131
1317,100,136,133
1318,101,119,115
1319,102,126,129
1320,103,122,130
1321,104,123,124
1322,105,134,142
1323,106,140,126
1324,107,137,133
1325,108,131,121
1326,109,141,136
1327,110,136,132
1328,111,139,124
1329,112,121,134
1330,113,120,127
1331,114,132,126
1332,115,125,120
1333,116,140,127
1334,117,135,125
1335,118,128,138
1336,119,106,136
1337,120,125,131
1338,121,114,127
1339,122,116,109
1340,123,132,123
1341,124,128,127
1342,125,126,125
1343,126,116,127
1344,127,133,118
1345,16,125,119
1346,17,140,122
1347,18,132,126
1348,19,126,125
1349,20,124,118
1350,21,142,130
1351,22,124,122
1352,23,131,133
1353,24,118,122
1354,25,127,142
1355,26,134,129
1356,27,124,136
1357,28,123,120
1358,29,117,130
1359,30,128,129
1360,31,124,146
1361,32,126,118
1362,33,115,129
1363,34,114,116
1364,35,128,116
1365,36,127,123
1366,37,128,135
1367,38,122,140
1368,39,129,127
1369,40,124,117
1370,41,126,139
1371,42,121,135
1372,43,117,132
1373,44,128,126
1374,45,120,131
1375,46,132,122
1376,47,138,134
1377,48,133,136
1378,49,134,117
1379,50,123,134
1380,51,135,131
1381,52,130,125
1382,53,132,129
1383,54,130,128
1384,55,110,116
1385,56,133,129
1386,57,137,126
1387,58,127,140
1388,59,133,134
1389,60,116,134
1390,61,140,125
1391,62,116,120
1392,63,138,143
1393,64,136,132
1394,65,134,120
1395,66,130,121
1396,67,129,127
1397,68,127,132
1398,69,124,131
1399,70,119,133
1400,71,122,127
1401,72,119,149
1402,73,118,137
1403,74,128,114
1404,75,128,137
1405,76,119,112
1406,77,121,141
1407,78,116,128
1408,79,124,129
1409,80,130,119
1410,81,127,125
1411,82,130,129
1412,83,127,131
1413,84,128,118
1414,85,129,138
1415,86,129,121
1416,87,126,141
1417,88,127,132
1418,89,140,138
1419,90,137,132
1420,91,119,117
1421,92,121,120
1422,93,141,130
1423,94,129,132
1424,95,126,111
1425,96,113,131
1426,97,121,131
1427,98,125,115
1428,99,118,136
1429,100,115,123
1430,101,124,133
1431,102,116,131
1432,103,130,124
1433,104,130,136
1434,105,141,129
1435,106,127,134
1436,107,131,133
1437,108,132,129
1438,109,131,114
1439,110,136,121
1440,111,124,135
1441,112,128,137
1442,113,117,119
1443,114,137,138
1444,115,142,102
1445,116,126,115
1446,117,131,136
1447,118,135,126
1448,119,123,121
1449,120,133,122
1450,121,130,126
1451,122,132,119
1452,123,141,128
1453,124,135,135
1454,125,117,133
1455,126,123,151
1456,127,142,119
1457,16,140,112
1458,17,115,120
1459,18,132,137
1460,19,134,131
1461,20,125,136
1462,21,131,133
1463,22,114,134
1464,23,131,120
1465,24,114,143
1466,25,126,111
1467,26,130,118
1468,27,133,125
1469,28,128,131
1470,29,137,120
1471,30,120,115
1472,31,134,135
1473,32,120,128
1474,33,128,121
1475,34,132,140
1476,35,117,131
1477,36,157,121
1478,37,122,119
1479,38,148,129
1480,39,136,133
1481,40,135,133
1482,41,138,128
1483,42,124,115
1484,43,126,112
1485,44,119,135
1486,45,135,132
1487,46,128,111
1488,47,118,128
1489,48,122,126
